,accuracy
related,0.8191874880793439
request,0.8996757581537288
offer,0.9965668510394812
aid_related,0.7795155445355713
medical_help,0.922372687392714
medical_products,0.9532710280373832
search_and_rescue,0.9753957657829487
security,0.9818806027083731
military,0.9692923898531375
water,0.9618539004386801
food,0.9399198931909212
shelter,0.9324814037764638
clothing,0.9847415601754721
money,0.9761586877741751
missing_people,0.9889376311272172
refugees,0.9704367728399771
death,0.9620446309364867
other_aid,0.8727827579629983
infrastructure_related,0.9366774747282091
transport,0.957657829486935
buildings,0.9532710280373832
electricity,0.9809269502193401
tools,0.9935151630745757
hospitals,0.9891283616250238
shops,0.9950410070570285
aid_centers,0.9887469006294106
other_infrastructure,0.9563227160022888
weather_related,0.8844173183292008
floods,0.9532710280373832
storm,0.9345794392523364
fire,0.9897005531184436
earthquake,0.9708182338355903
cold,0.9799732977303071
other_weather,0.9523173755483502
direct_report,0.8670608430288003
