,precision,recall,f1-score,support
related_macro avg,0.7687153791269379,0.6689120812450972,0.6945684106823666,5243
related_weighted avg,0.8050817458393701,0.8191874880793439,0.7989447953042004,5243
weighted avg,0.8603194639343404,0.8670608430288003,0.8485201809512004,5243
request_macro avg,0.8690971957565636,0.7470454191758402,0.7890260284703607,5243
request_weighted avg,0.8946766993434546,0.8996757581537288,0.8898259797410403,5243
offer_macro avg,0.4982834255197406,0.5,0.4991402369124952,5243
offer_weighted avg,0.9931454885907475,0.9965668510394812,0.9948532282539719,5243
aid_related_macro avg,0.7736375770682871,0.7675967302697888,0.7700266182767906,5243
aid_related_weighted avg,0.7781669834208825,0.7795155445355713,0.7782859935273911,5243
medical_help_macro avg,0.7700289717968427,0.5272923937467132,0.532460142788126,5243
medical_help_weighted avg,0.9001331595012743,0.922372687392714,0.891671553450373,5243
medical_products_macro avg,0.8808444287167692,0.5397280785540589,0.5611597502385456,5243
medical_products_weighted avg,0.9467134280218392,0.9532710280373832,0.9346781809262599,5243
search_and_rescue_macro avg,0.7384254830686818,0.5302255853364983,0.548935105989216,5243
search_and_rescue_weighted avg,0.9651184132798927,0.9753957657829487,0.9659430285219263,5243
security_macro avg,0.741032245754627,0.5051660327976117,0.5057371347370782,5243
security_weighted avg,0.9733297734674118,0.9818806027083731,0.973275600275157,5243
military_macro avg,0.7000191497510532,0.527301071655278,0.5424691035489793,5243
military_weighted avg,0.9551064894901358,0.9692923898531375,0.9577452353855882,5243
water_macro avg,0.9220759742603587,0.7152577823481617,0.7808029726846137,5243
water_weighted avg,0.959238100137934,0.9618539004386801,0.9556985488550162,5243
food_macro avg,0.9165809243418781,0.7653769637396337,0.8192344615648648,5243
food_weighted avg,0.9374925164794695,0.9399198931909212,0.9332996605970549,5243
shelter_macro avg,0.8864564038288762,0.6541325260804439,0.710528827618217,5243
shelter_weighted avg,0.9269060405743006,0.9324814037764638,0.9181712398594869,5243
clothing_macro avg,0.9539858802765113,0.5658370162446249,0.6115317931923595,5243
clothing_weighted avg,0.9838218963717078,0.9847415601754721,0.9790769635954597,5243
money_macro avg,0.9256566380133715,0.526619748175226,0.5443193140471676,5243
money_weighted avg,0.9737818933909425,0.9761586877741751,0.9657519003587319,5243
missing_people_macro avg,0.9944677603967951,0.5084745762711864,0.5138851588976278,5243
missing_people_weighted avg,0.9890600304775838,0.9889376311272172,0.9836215895703359,5243
refugees_macro avg,0.7773290639138469,0.5218014482117765,0.5339082447365266,5243
refugees_weighted avg,0.9597065111828439,0.9704367728399771,0.9579620711105723,5243
death_macro avg,0.888611359570662,0.5766363391019207,0.6203728533208557,5243
death_weighted avg,0.9568329618808551,0.9620446309364867,0.9494740769952602,5243
other_aid_macro avg,0.7480947139994394,0.5154790994826534,0.4981334354360103,5243
other_aid_weighted avg,0.8419544894032327,0.8727827579629983,0.8199348733946219,5243
infrastructure_related_macro avg,0.4685174585002862,0.49979645837573783,0.483651762852078,5243
infrastructure_related_weighted avg,0.8780569420606164,0.9366774747282091,0.9064204123182373,5243
transport_macro avg,0.8543863854266539,0.543792504053647,0.5686865228295477,5243
transport_weighted avg,0.9493754079081655,0.957657829486935,0.9414083754229189,5243
buildings_macro avg,0.863763136267464,0.5621917988409618,0.5965845191289729,5243
buildings_weighted avg,0.9454575360303098,0.9532710280373832,0.9369922319918675,5243
electricity_macro avg,0.9904580152671756,0.5145631067961165,0.5234849311084452,5243
electricity_weighted avg,0.981290939718971,0.9809269502193401,0.9720221026602415,5243
tools_macro avg,0.49675758153728783,0.5,0.49837351703023347,5243
tools_weighted avg,0.9870723792591006,0.9935151630745757,0.9902832920886844,5243
hospitals_macro avg,0.4945641808125119,0.5,0.49726723559305785,5243
hospitals_weighted avg,0.978374915771004,0.9891283616250238,0.9837222520639322,5243
shops_macro avg,0.49752050352851424,0.5,0.49875717017208415,5243
shops_weighted avg,0.9901066057250654,0.9950410070570285,0.9925676737698886,5243
aid_centers_macro avg,0.49446776039679513,0.49990356798457086,0.4971708065598926,5243
aid_centers_weighted avg,0.9779955512711741,0.9887469006294106,0.9833418394098963,5243
other_infrastructure_macro avg,0.4782525753529187,0.4999002991026919,0.48883689187871693,5243
other_infrastructure_weighted avg,0.9149100382967337,0.9563227160022888,0.9351581204546121,5243
weather_related_macro avg,0.8705010778821622,0.8249271110557743,0.8436598053803821,5243
weather_related_weighted avg,0.8820575045645064,0.8844173183292008,0.8806415009174313,5243
floods_macro avg,0.9156061851249709,0.7337525347020557,0.7946513284154373,5243
floods_weighted avg,0.9503030666821838,0.9532710280373832,0.9467651419200768,5243
storm_macro avg,0.8463254433879561,0.7201092733170127,0.765496310022044,5243
storm_weighted avg,0.9273183954401044,0.9345794392523364,0.9273254236002734,5243
fire_macro avg,0.4948502765592218,0.5,0.49741180981595096,5243
fire_weighted avg,0.9795071848429532,0.9897005531184436,0.9845774866049855,5243
earthquake_macro avg,0.9289947416073636,0.8868316779023229,0.906548911951323,5243
earthquake_weighted avg,0.969848468841892,0.9708182338355903,0.9700643848438475,5243
cold_macro avg,0.9234825299668452,0.5558394369228493,0.5941666267356184,5243
cold_weighted avg,0.9777843211164152,0.9799732977303071,0.9723507480881975,5243
other_weather_macro avg,0.9761268143621085,0.5136186770428015,0.5142866248080492,5243
other_weather_weighted avg,0.9545940478388223,0.9523173755483502,0.9303234635810725,5243
direct_report_macro avg,0.8384873529946975,0.6886544886073632,0.7284314615064666,5243
direct_report_weighted avg,0.8603194639343404,0.8670608430288003,0.8485201809512004,5243
